trimestre,año,sst_total,anomalia,estado_enso
DJF,1978,27.15,0.69,El Niño
JFM,1978,27.09,0.42,Neutro
FMA,1978,27.08,0.06,Neutro
MAM,1978,27.14,-0.18,Neutro
AMJ,1978,27.11,-0.31,Neutro
MJJ,1978,26.98,-0.29,Neutro
JJA,1978,26.61,-0.36,Neutro
JAS,1978,26.27,-0.42,Neutro
ASO,1978,26.11,-0.42,Neutro
SON,1978,26.19,-0.29,Neutro
OND,1978,26.37,-0.08,Neutro
NDJ,1978,26.43,0.0,Neutro
DJF,1979,26.5,0.03,Neutro
JFM,1979,26.75,0.07,Neutro
FMA,1979,27.22,0.2,Neutro
MAM,1979,27.6,0.28,Neutro
AMJ,1979,27.66,0.23,Neutro
MJJ,1979,27.32,0.05,Neutro
JJA,1979,27.0,0.04,Neutro
JAS,1979,26.86,0.17,Neutro
ASO,1979,26.86,0.33,Neutro
SON,1979,26.94,0.45,Neutro
OND,1979,26.98,0.52,El Niño
NDJ,1979,27.06,0.64,El Niño
DJF,1980,27.06,0.59,El Niño
JFM,1980,27.13,0.46,Neutro
FMA,1980,27.35,0.34,Neutro
MAM,1980,27.7,0.38,Neutro
AMJ,1980,27.9,0.48,Neutro
MJJ,1980,27.73,0.46,Neutro
JJA,1980,27.22,0.25,Neutro
JAS,1980,26.72,0.03,Neutro
ASO,1980,26.46,-0.07,Neutro
SON,1980,26.5,0.02,Neutro
OND,1980,26.57,0.11,Neutro
NDJ,1980,26.48,-0.01,Neutro
DJF,1981,26.32,-0.26,Neutro
JFM,1981,26.32,-0.5,La Niña
FMA,1981,26.69,-0.47,Neutro
MAM,1981,27.11,-0.37,Neutro
AMJ,1981,27.31,-0.26,Neutro
MJJ,1981,27.09,-0.29,Neutro
JJA,1981,26.75,-0.3,Neutro
JAS,1981,26.5,-0.25,Neutro
ASO,1981,26.42,-0.16,Neutro
SON,1981,26.41,-0.13,Neutro
OND,1981,26.37,-0.15,Neutro
NDJ,1981,26.46,-0.08,Neutro
DJF,1982,26.56,-0.05,Neutro
JFM,1982,26.9,0.07,Neutro
FMA,1982,27.35,0.19,Neutro
MAM,1982,27.95,0.47,Neutro
AMJ,1982,28.23,0.66,El Niño
MJJ,1982,28.1,0.72,El Niño
JJA,1982,27.83,0.79,El Niño
JAS,1982,27.81,1.07,El Niño
ASO,1982,28.16,1.58,El Niño
SON,1982,28.5,1.97,El Niño
OND,1982,28.7,2.18,El Niño
NDJ,1982,28.76,2.23,El Niño
DJF,1983,28.79,2.18,El Niño
JFM,1983,28.75,1.92,El Niño
FMA,1983,28.71,1.54,El Niño
MAM,1983,28.76,1.29,El Niño
AMJ,1983,28.63,1.06,El Niño
MJJ,1983,28.1,0.72,El Niño
JJA,1983,27.36,0.31,Neutro
JAS,1983,26.66,-0.08,Neutro
ASO,1983,26.12,-0.46,Neutro
SON,1983,25.73,-0.81,La Niña
OND,1983,25.52,-1.0,La Niña
NDJ,1983,25.62,-0.91,La Niña
DJF,1984,26.01,-0.6,La Niña
JFM,1984,26.41,-0.42,Neutro
FMA,1984,26.83,-0.34,Neutro
MAM,1984,27.04,-0.43,Neutro
AMJ,1984,27.06,-0.51,La Niña
MJJ,1984,26.94,-0.45,Neutro
JJA,1984,26.74,-0.3,Neutro
JAS,1984,26.59,-0.16,Neutro
ASO,1984,26.34,-0.24,Neutro
SON,1984,25.98,-0.56,La Niña
OND,1984,25.61,-0.92,La Niña
NDJ,1984,25.39,-1.14,La Niña
DJF,1985,25.56,-1.04,La Niña
JFM,1985,25.98,-0.85,La Niña
FMA,1985,26.4,-0.77,La Niña
MAM,1985,26.69,-0.78,La Niña
AMJ,1985,26.79,-0.78,La Niña
MJJ,1985,26.76,-0.63,La Niña
JJA,1985,26.55,-0.49,Neutro
JAS,1985,26.29,-0.46,Neutro
ASO,1985,26.18,-0.4,Neutro
SON,1985,26.19,-0.35,Neutro
OND,1985,26.25,-0.27,Neutro
NDJ,1985,26.14,-0.36,Neutro
DJF,1986,26.05,-0.49,Neutro
JFM,1986,26.28,-0.47,Neutro
FMA,1986,26.81,-0.31,Neutro
MAM,1986,27.26,-0.2,Neutro
AMJ,1986,27.44,-0.12,Neutro
MJJ,1986,27.34,-0.04,Neutro
JJA,1986,27.26,0.22,Neutro
JAS,1986,27.2,0.44,Neutro
ASO,1986,27.31,0.71,El Niño
SON,1986,27.49,0.94,El Niño
OND,1986,27.64,1.14,El Niño
NDJ,1986,27.7,1.22,El Niño
DJF,1987,27.76,1.23,El Niño
JFM,1987,27.95,1.19,El Niño
FMA,1987,28.19,1.06,El Niño
MAM,1987,28.41,0.95,El Niño
AMJ,1987,28.53,0.97,El Niño
MJJ,1987,28.59,1.22,El Niño
JJA,1987,28.54,1.51,El Niño
JAS,1987,28.45,1.7,El Niño
